05/04/2022 18:34:00	3	36,56
05/04/2022 18:39:00	4	33,53
05/04/2022 18:44:00	3	38,93
05/04/2022 18:49:00	1	30,35
05/04/2022 18:54:00	1	30,35
05/04/2022 18:59:00	1	38,44
05/04/2022 19:04:00	1	31,6
05/04/2022 19:09:00	1	36,04
05/04/2022 19:14:00	3	34,88
05/04/2022 19:19:00	3	35,91
05/04/2022 19:24:00	4	37,29
05/04/2022 19:29:00	1	35,17
05/04/2022 19:34:00	3	32,96
05/04/2022 19:39:00	4	34,75
05/04/2022 19:44:00	3	33,97
05/04/2022 19:49:00	3	32,7
05/04/2022 19:54:00	1	37,15
05/04/2022 19:59:00	3	38,28
05/04/2022 20:04:00	1	34,83
05/04/2022 20:09:00	3	36,43
05/04/2022 20:14:00	3	34,05
05/04/2022 20:19:00	2	34,06
05/04/2022 20:24:00	1	36,18
05/04/2022 20:29:00	3	33,28
05/04/2022 20:34:00	4	34,12
05/04/2022 20:39:00	1	36,1
05/04/2022 20:44:00	2	34,69
05/04/2022 20:49:00	2	33,93
05/04/2022 20:54:00	1	35,3
05/04/2022 20:59:00	2	37,23
05/04/2022 21:04:00	4	33,46
05/04/2022 21:09:00	4	35,59
05/04/2022 21:14:00	1	39,74
05/04/2022 21:19:00	1	33,65
05/04/2022 21:24:00	1	33,55
05/04/2022 21:29:00	2	33,2
05/04/2022 21:34:00	1	36,06
05/04/2022 21:39:00	4	33,72
05/04/2022 21:44:00	3	33,54
05/04/2022 21:49:00	4	34,49
05/04/2022 21:54:00	4	34,03
05/04/2022 21:59:00	4	34,74
05/04/2022 22:04:00	3	33,54
05/04/2022 22:09:00	1	35,98
05/04/2022 22:14:00	4	32,47
05/04/2022 22:19:00	3	33,34
05/04/2022 22:24:00	1	37,68
05/04/2022 22:29:00	3	34,52
05/04/2022 22:34:00	4	37,89
05/04/2022 22:39:00	2	36,11
